Wort,Rank,Sprachniveau_Est,Wortart,Erklärung,DWDS_Erklärung,Synonyme,Beispielsatz
bis,109,A1-B1,Particle,bezeichnet den Endzeitpunkt,"einschließlich | ausschließlich, ausgenommen | bevor nicht",,Bis nächsten Monat muss die Präsentation fertig sein.
leid,110,A1-B1,Adjektiv,"hässlich, unangenehm","jmds., einer Sache überdrüssig | so, dass man etw. bereut",,Das ist ein leides Thema.
na,111,A1-B1,Particle,"ein sehr nuancierter, kontextabhängiger, floskelhafter Ausdruck der Zustimmung, der Überraschung, der Verwunderung, des Zweifels, der Skepsis, der Ablehnung, der Ungeduld, des Ärgers, der sanften Drohung, der Ermahnung, der Entrüstung, der Missbilligung; er dient weiterhin der Schaffung einer Denkpause oder Gesprächspause, um die Aufmerksamkeit, die Spannung zu erhöhen oder das Nachfolgende herauszustellen",,,"Na, wenn das keinen Spaß macht, weiß ich auch nicht, was wir noch machen sollen."
dieser,112,A1-B1,Pron,"attributiver Gebrauch, um ein ganz bestimmtes, nahe liegendes Nomen hervorzuheben",,"die, das, der",Dieser Zug fährt nach Osten.
zurück,113,A1-B1,Adverb,wieder zu einem  Ausgangspunkt,"wieder zum Ausgangsort, Ausgangspunkt | ; | in Richtung Ausgangsort, Ausgangspunkt","heimzu, heimwärts, hinten, rückwärts",Der Wanderer ist endlich in seinem Hause zurück.
lassen,114,A1-B1,Verb,"nichts verändern und somit alles so lassen, wie es ist; etwas beim Status quo belassen","bewirken, dass etw. geschieht, etw. veranlassen | etw. gestatten | etw. erlauben, zulassen",,"Lass es so, wie es ist!"
hallo,115,A1-B1,Phrase,"ein Anruf, mit dem man andere, auch Fremde, auf sich aufmerksam machen will",,,"Hallo, bist du vollkommen bescheuert?"
meinen,116,A1-B1,Verb,einen bestimmten Standpunkt oder eine bestimmte Meinung vertreten,"einen bestimmten Standpunkt einnehmen, der Ansicht sein | etw. annehmen, vermuten, glauben | jmdn., etw. (bei seinem Tun, Reden) im Sinn, im Auge haben","bezeichnen, bedeuten, glauben, sagen","Ich meine, dass das anders war."
genau,117,A1-B1,Adjektiv,"gründlich und sorgfältig, was das Einhalten von selbstgesetzten oder fremden Regeln betrifft","präzise, exakt (in der Ausführung oder seiner Beschaffenheit) | ; | um nichts von einer Vorgabe, einem Muster, einer Vergleichsgröße oder einem Vorbild, etw. Bestimmtem abweichend, damit übereinstimmend",,Sie ist in Geldangelegenheiten sehr genau.
lass,118,A1-B1,Adjektiv,keine Energie habend,"kraftlos, müde, träge","schlaff, kraftlos, nachlässig, schlapp, erschöpft","Er fühlte sich lass und müde und hatte das Gefühl, keine Luft mehr zu bekommen."
klar,119,A1-B1,Adjektiv,frei von Unreinheiten oder generell Störendem,"durchsichtig, rein | nicht dunstig, neblig | unvermischt, rein",,Heute soll es klares Wetter geben.
morgen,120,A1-B1,Adverb,"am Tag nach dem heutigen Tag; am folgenden, kommenden Tag","am kommenden, folgenden Tag, am Tag nach dem heutigen | in naher Zukunft, zukünftig","anderntags, anderentags",Wir gehen morgen ins Kino.
schön,121,A1-B1,Adjektiv,"ästhetisch, eine angenehme Wirkung auf die Sinne habend: zum Beispiel ein gutes Aussehen habend, sich gut anhörend","jmds. ästhetisches Empfinden sehr angenehm berührend, höchstes, bewunderndes Wohlgefallen hervorrufend | in seiner Art und Weise ansprechend, angenehm | gut, ordentlich, erfreulich","ästhetisch, gut, sehr, beträchtlich, einverstanden",Sie hat schönes Haar. Das Musikstück ist schön.
ab,122,A1-B1,Prep,"von einem Ort an, von etwas weg, von einem Ort weg, von einem Punkt weg","von … an | von … weg | weg, fort","von, von … an",Der Zug fährt erst ab Stuttgart.
gerade,123,A1-B1,Adjektiv,nicht gebogen oder gekrümmt,ohne Krümmung | aufrecht | direkt,geradlinig,"Diese Strecke ist sehr kurvenreich, die andere ist viel gerader."
reden,124,A1-B1,Verb,"etwas sagen, Sprache von sich geben","Gedanken mündlich darlegen, sich sinnvoll äußern | etw. äußern, aussprechen | durch mündliche Äußerungen etw. bewirken, einen Zustand herbeiführen","versetzen, quasseln, äußern, plaudern, formulieren",Sie redet gerne über Politik.
wohl,125,A1-B1,Adverb,"gut, gesund, angenehm, behaglich","körperlich gesund und in gutem, angenehmem Zustand ohne Beschwerden o. Ä. | in angenehmem, entspanntem psychischen Zustand, frei von Ängsten, Sorgen, Bedenken o. Ä. | (in hohem Maße) gut, gründlich, sorgfältig oder vorteilhaft",gut,"„Befiehl dem Herrn deine Wege und hoffe auf ihn, er wird's wohl machen.“"
jemand,126,A1-B1,Pron,eine oder mehrere unbestimmte Person,,"einer, irgendwer, wer, etwer",Ist da jemand?
durch,127,A1-B1,Prep,in etwas hinein und auf der anderen Seite wieder heraus,"in gerader Richtung auf der einen Seite hinein und auf der anderen hinaus, hindurch | (kreuz und quer) hindurch in seiner ganzen räumlichen Ausdehnung | mittels","vermittels, hindurch, dank, während, mittels",Er kam durch die Tür.
